"No.","Time","Source","Destination","Protocol","Length","Info"
"21","22.053068884","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=1 Ack=4 Win=64256 Len=0 TSval=1428372711 TSecr=165187053"
"22","22.057792471","172.16.0.4","172.16.208.128","TCP","309","47902  >  4444 [PSH, ACK] Seq=1 Ack=4 Win=64256 Len=243 TSval=1428372716 TSecr=165187053"
"23","22.057899373","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=4 Ack=244 Win=65152 Len=0 TSval=165187059 TSecr=1428372716"
"24","23.118687294","172.16.208.128","172.16.0.4","TCP","69","4444  >  47902 [PSH, ACK] Seq=4 Ack=244 Win=65152 Len=3 TSval=165188120 TSecr=1428372716"
"25","23.119845416","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=244 Ack=7 Win=64256 Len=0 TSval=1428373778 TSecr=165188120"
"26","23.123724987","172.16.0.4","172.16.208.128","TCP","309","47902  >  4444 [PSH, ACK] Seq=244 Ack=7 Win=64256 Len=243 TSval=1428373782 TSecr=165188120"
"27","23.123827789","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=7 Ack=487 Win=65024 Len=0 TSval=165188125 TSecr=1428373782"
"28","23.920023511","172.16.208.128","172.16.0.4","TCP","69","4444  >  47902 [PSH, ACK] Seq=7 Ack=487 Win=65024 Len=3 TSval=165188921 TSecr=1428373782"
"29","23.920927827","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=487 Ack=10 Win=64256 Len=0 TSval=1428374579 TSecr=165188921"
"30","23.925811417","172.16.0.4","172.16.208.128","TCP","309","47902  >  4444 [PSH, ACK] Seq=487 Ack=10 Win=64256 Len=243 TSval=1428374584 TSecr=165188921"
"31","23.925967320","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=10 Ack=730 Win=64896 Len=0 TSval=165188927 TSecr=1428374584"
"32","25.935652964","172.16.208.128","172.16.0.4","TCP","69","4444  >  47902 [PSH, ACK] Seq=10 Ack=730 Win=64896 Len=3 TSval=165190937 TSecr=1428374584"
"33","25.976467918","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=730 Ack=13 Win=64256 Len=0 TSval=1428376635 TSecr=165190937"
"34","27.275988025","172.16.208.128","172.16.0.4","TCP","70","4444  >  47902 [PSH, ACK] Seq=13 Ack=730 Win=64896 Len=4 TSval=165192277 TSecr=1428376635"
"35","27.277090046","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=730 Ack=17 Win=64256 Len=0 TSval=1428377936 TSecr=165192277"
"36","27.279058482","172.16.0.4","172.16.208.128","TCP","90","47902  >  4444 [PSH, ACK] Seq=730 Ack=17 Win=64256 Len=24 TSval=1428377937 TSecr=165192277"
"37","27.279211385","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=17 Ack=754 Win=64896 Len=0 TSval=165192281 TSecr=1428377937"
"38","28.592122528","172.16.208.128","172.16.0.4","TCP","70","4444  >  47902 [PSH, ACK] Seq=17 Ack=754 Win=64896 Len=4 TSval=165193594 TSecr=1428377937"
"39","28.593394351","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=754 Ack=21 Win=64256 Len=0 TSval=1428379252 TSecr=165193594"
"40","28.594626374","172.16.0.4","172.16.208.128","TCP","90","47902  >  4444 [PSH, ACK] Seq=754 Ack=21 Win=64256 Len=24 TSval=1428379253 TSecr=165193594"
"41","28.594741477","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=21 Ack=778 Win=64896 Len=0 TSval=165193596 TSecr=1428379253"
"42","29.435730803","172.16.208.128","172.16.0.4","TCP","69","4444  >  47902 [PSH, ACK] Seq=21 Ack=778 Win=64896 Len=3 TSval=165194437 TSecr=1428379253"
"43","29.436690321","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=778 Ack=24 Win=64256 Len=0 TSval=1428380095 TSecr=165194437"
"44","29.441705113","172.16.0.4","172.16.208.128","TCP","309","47902  >  4444 [PSH, ACK] Seq=778 Ack=24 Win=64256 Len=243 TSval=1428380100 TSecr=165194437"
"45","29.441850416","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=24 Ack=1021 Win=64768 Len=0 TSval=165194443 TSecr=1428380100"
"46","30.818263015","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"47","30.818309716","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"48","30.863223143","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"49","30.863255444","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"50","32.527481346","172.16.208.128","172.16.0.4","TCP","76","4444  >  47902 [PSH, ACK] Seq=24 Ack=1021 Win=64768 Len=10 TSval=165197529 TSecr=1428380100"
"51","32.529682887","172.16.0.4","172.16.208.128","TCP","71","47902  >  4444 [PSH, ACK] Seq=1021 Ack=34 Win=64256 Len=5 TSval=1428383188 TSecr=165197529"
"52","32.529764289","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=34 Ack=1026 Win=64768 Len=0 TSval=165197531 TSecr=1428383188"
"53","36.648060599","172.16.208.128","172.16.0.4","TCP","76","4444  >  47902 [PSH, ACK] Seq=34 Ack=1026 Win=64768 Len=10 TSval=165201650 TSecr=1428383188"
"54","36.650437343","172.16.0.4","172.16.208.128","TCP","71","47902  >  4444 [PSH, ACK] Seq=1026 Ack=44 Win=64256 Len=5 TSval=1428387309 TSecr=165201650"
"55","36.650511444","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=44 Ack=1031 Win=64768 Len=0 TSval=165201652 TSecr=1428387309"
"56","39.736117959","172.16.208.128","172.16.0.4","TCP","76","4444  >  47902 [PSH, ACK] Seq=44 Ack=1031 Win=64768 Len=10 TSval=165204738 TSecr=1428387309"
"57","39.737872692","172.16.0.4","172.16.208.128","TCP","71","47902  >  4444 [PSH, ACK] Seq=1031 Ack=54 Win=64256 Len=5 TSval=1428390396 TSecr=165204738"
"58","39.737928193","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=54 Ack=1036 Win=64768 Len=0 TSval=165204739 TSecr=1428390396"
"59","40.819385398","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"60","40.819494200","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"61","40.865669949","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"62","40.865501046","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"63","50.823341795","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"64","50.868610727","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"65","50.823251293","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"66","50.868766530","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"67","56.540166004","172.16.208.128","172.16.0.4","TCP","77","4444  >  47902 [PSH, ACK] Seq=54 Ack=1036 Win=64768 Len=11 TSval=165221542 TSecr=1428390396"
"68","56.584819522","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=1036 Ack=65 Win=64256 Len=0 TSval=1428407243 TSecr=165221542"
"69","58.804628473","172.16.208.128","172.16.0.4","TCP","76","4444  >  47902 [PSH, ACK] Seq=65 Ack=1036 Win=64768 Len=10 TSval=165223806 TSecr=1428407243"
"70","58.805742593","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=1036 Ack=75 Win=64256 Len=0 TSval=1428409464 TSecr=165223806"
"71","58.823607820","172.16.0.4","172.16.208.128","TCP","74","47902  >  4444 [PSH, ACK] Seq=1036 Ack=75 Win=64256 Len=8 TSval=1428409482 TSecr=165223806"
"72","58.823713222","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1044 Win=64768 Len=0 TSval=165223825 TSecr=1428409482"
"73","58.824509237","172.16.0.4","172.16.208.128","TCP","120","47902  >  4444 [PSH, ACK] Seq=1044 Ack=75 Win=64256 Len=54 TSval=1428409483 TSecr=165223825"
"74","58.824561837","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1098 Win=64768 Len=0 TSval=165223826 TSecr=1428409483"
"75","58.825346652","172.16.0.4","172.16.208.128","TCP","79","47902  >  4444 [PSH, ACK] Seq=1098 Ack=75 Win=64256 Len=13 TSval=1428409484 TSecr=165223826"
"76","58.825427053","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1111 Win=64768 Len=0 TSval=165223827 TSecr=1428409484"
"77","58.826710277","172.16.0.4","172.16.208.128","TCP","95","47902  >  4444 [PSH, ACK] Seq=1111 Ack=75 Win=64256 Len=29 TSval=1428409485 TSecr=165223827"
"78","58.826786278","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1140 Win=64768 Len=0 TSval=165223828 TSecr=1428409485"
"79","58.827767097","172.16.0.4","172.16.208.128","TCP","95","47902  >  4444 [PSH, ACK] Seq=1140 Ack=75 Win=64256 Len=29 TSval=1428409486 TSecr=165223828"
"80","58.827855798","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1169 Win=64768 Len=0 TSval=165223829 TSecr=1428409486"
"81","58.829051520","172.16.0.4","172.16.208.128","TCP","105","47902  >  4444 [PSH, ACK] Seq=1169 Ack=75 Win=64256 Len=39 TSval=1428409487 TSecr=165223829"
"82","58.829155722","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1208 Win=64768 Len=0 TSval=165223831 TSecr=1428409487"
"83","58.829804134","172.16.0.4","172.16.208.128","TCP","72","47902  >  4444 [PSH, ACK] Seq=1208 Ack=75 Win=64256 Len=6 TSval=1428409488 TSecr=165223831"
"84","58.829891835","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1214 Win=64768 Len=0 TSval=165223831 TSecr=1428409488"
"85","58.830568448","172.16.0.4","172.16.208.128","TCP","69","47902  >  4444 [PSH, ACK] Seq=1214 Ack=75 Win=64256 Len=3 TSval=1428409489 TSecr=165223831"
"86","58.830613648","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1217 Win=64768 Len=0 TSval=165223832 TSecr=1428409489"
"87","58.831386863","172.16.0.4","172.16.208.128","TCP","168","47902  >  4444 [PSH, ACK] Seq=1217 Ack=75 Win=64256 Len=102 TSval=1428409490 TSecr=165223832"
"88","58.831465064","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1319 Win=64768 Len=0 TSval=165223833 TSecr=1428409490"
"89","58.832142976","172.16.0.4","172.16.208.128","TCP","248","47902  >  4444 [PSH, ACK] Seq=1319 Ack=75 Win=64256 Len=182 TSval=1428409491 TSecr=165223833"
"90","58.832198977","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1501 Win=64640 Len=0 TSval=165223834 TSecr=1428409491"
"91","58.832895990","172.16.0.4","172.16.208.128","TCP","235","47902  >  4444 [PSH, ACK] Seq=1501 Ack=75 Win=64256 Len=169 TSval=1428409492 TSecr=165223834"
"92","58.832982792","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1670 Win=64512 Len=0 TSval=165223834 TSecr=1428409492"
"93","58.833618503","172.16.0.4","172.16.208.128","TCP","71","47902  >  4444 [PSH, ACK] Seq=1670 Ack=75 Win=64256 Len=5 TSval=1428409492 TSecr=165223834"
"94","58.833704105","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1675 Win=64512 Len=0 TSval=165223835 TSecr=1428409492"
"95","58.834302516","172.16.0.4","172.16.208.128","TCP","78","47902  >  4444 [PSH, ACK] Seq=1675 Ack=75 Win=64256 Len=12 TSval=1428409493 TSecr=165223835"
"96","58.834398318","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=75 Ack=1687 Win=64512 Len=0 TSval=165223836 TSecr=1428409493"
"97","60.823578625","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"98","60.823755029","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"99","60.883080114","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"100","60.883173816","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"101","70.832270508","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"102","70.896196475","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"103","70.832367210","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"104","70.896273676","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"105","72.056520246","172.16.208.128","172.16.0.4","TCP","88","4444  >  47902 [PSH, ACK] Seq=75 Ack=1687 Win=64512 Len=22 TSval=165237058 TSecr=1428409493"
"106","72.057797969","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=1687 Ack=97 Win=64256 Len=0 TSval=1428422716 TSecr=165237058"
"107","72.061382434","172.16.0.4","172.16.208.128","TCP","100","47902  >  4444 [PSH, ACK] Seq=1687 Ack=97 Win=64256 Len=34 TSval=1428422720 TSecr=165237058"
"108","72.061523337","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=97 Ack=1721 Win=64512 Len=0 TSval=165237063 TSecr=1428422720"
"109","72.062500855","172.16.0.4","172.16.208.128","TCP","206","47902  >  4444 [PSH, ACK] Seq=1721 Ack=97 Win=64256 Len=140 TSval=1428422721 TSecr=165237063"
"110","72.062631957","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=97 Ack=1861 Win=64384 Len=0 TSval=165237064 TSecr=1428422721"
"111","80.834867085","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"112","80.897581027","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"113","80.834810984","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"114","80.897564927","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"115","86.672461340","172.16.208.128","172.16.0.4","TCP","83","4444  >  47902 [PSH, ACK] Seq=97 Ack=1861 Win=64384 Len=17 TSval=165251674 TSecr=1428422721"
"116","86.673822465","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=1861 Ack=114 Win=64256 Len=0 TSval=1428437332 TSecr=165251674"
"117","86.676309010","172.16.0.4","172.16.208.128","TCP","142","47902  >  4444 [PSH, ACK] Seq=1861 Ack=114 Win=64256 Len=76 TSval=1428437335 TSecr=165251674"
"118","86.676483313","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=114 Ack=1937 Win=64384 Len=0 TSval=165251678 TSecr=1428437335"
"119","88.356066826","172.16.208.128","172.16.0.4","TCP","67","4444  >  47902 [PSH, ACK] Seq=114 Ack=1937 Win=64384 Len=1 TSval=165253358 TSecr=1428437335"
"120","88.357330449","172.16.0.4","172.16.208.128","TCP","84","47902  >  4444 [PSH, ACK] Seq=1937 Ack=115 Win=64256 Len=18 TSval=1428439016 TSecr=165253358"
"121","88.357392550","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=115 Ack=1955 Win=64384 Len=0 TSval=165253359 TSecr=1428439016"
"122","90.834434428","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"123","90.834385227","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"124","90.901429141","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"125","90.901532943","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"126","94.716276254","172.16.208.128","172.16.0.4","TCP","68","4444  >  47902 [PSH, ACK] Seq=115 Ack=1955 Win=64384 Len=2 TSval=165259718 TSecr=1428439016"
"127","94.718683697","172.16.0.4","172.16.208.128","TCP","461","47902  >  4444 [PSH, ACK] Seq=1955 Ack=117 Win=64256 Len=395 TSval=1428445377 TSecr=165259718"
"128","94.718756498","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=117 Ack=2350 Win=64128 Len=0 TSval=165259720 TSecr=1428445377"
"129","94.737561540","172.16.208.128","172.16.0.4","TCP","68","4444  >  47902 [PSH, ACK] Seq=117 Ack=2350 Win=64128 Len=2 TSval=165259739 TSecr=1428445377"
"130","94.739579976","172.16.0.4","172.16.208.128","TCP","101","47902  >  4444 [PSH, ACK] Seq=2350 Ack=119 Win=64256 Len=35 TSval=1428445398 TSecr=165259739"
"131","94.781665039","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=119 Ack=2385 Win=64128 Len=0 TSval=165259783 TSecr=1428445398"
"132","96.556633214","172.16.208.128","172.16.0.4","TCP","67","4444  >  47902 [PSH, ACK] Seq=119 Ack=2385 Win=64128 Len=1 TSval=165261558 TSecr=1428445398"
"133","96.557657433","172.16.0.4","172.16.208.128","TCP","85","47902  >  4444 [PSH, ACK] Seq=2385 Ack=120 Win=64256 Len=19 TSval=1428447216 TSecr=165261558"
"134","96.557714434","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=120 Ack=2404 Win=64128 Len=0 TSval=165261559 TSecr=1428447216"
"135","97.956855887","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [FIN, ACK] Seq=120 Ack=2404 Win=64128 Len=0 TSval=165262958 TSecr=1428447216"
"136","98.000481877","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [ACK] Seq=2404 Ack=121 Win=64256 Len=0 TSval=1428448659 TSecr=165262958"
"137","100.835666524","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"138","100.901240011","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"139","100.835546622","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"140","100.901240111","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"141","102.433726351","172.16.0.4","172.16.208.128","TCP","66","47902  >  4444 [FIN, ACK] Seq=2404 Ack=121 Win=64256 Len=0 TSval=1428453092 TSecr=165262958"
"142","102.433794052","172.16.208.128","172.16.0.4","TCP","66","4444  >  47902 [ACK] Seq=121 Ack=2405 Win=64128 Len=0 TSval=165267435 TSecr=1428453092"
"143","107.029469770","172.16.0.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"144","107.029332968","192.168.174.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"145","107.483434477","192.168.174.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"146","107.483527178","172.16.0.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"147","108.036729376","172.16.0.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"148","108.036817677","192.168.174.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"149","108.485045378","172.16.0.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"150","108.485058079","192.168.174.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"151","109.040734918","172.16.0.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"152","109.040729718","192.168.174.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"153","109.488542809","172.16.0.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"154","109.488463908","192.168.174.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"155","110.047005095","192.168.174.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"156","110.047092497","172.16.0.1","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"157","110.498349547","172.16.0.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"158","110.498422448","192.168.174.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"159","110.839306304","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"160","110.915573381","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"161","110.839250503","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"162","110.915521080","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"163","120.838776352","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"164","120.921227939","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"165","120.838743251","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"166","120.921211839","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"167","130.846077300","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"168","130.846098801","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"169","130.925203321","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"170","130.925203122","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"171","138.956277987","172.16.0.4","172.16.208.128","TCP","74","45966  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1428489615 TSecr=0 WS=128"
"172","138.956330288","172.16.208.128","172.16.0.4","TCP","74","12345  >  45966 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=165303958 TSecr=1428489615 WS=128"
"173","138.956766496","172.16.0.4","172.16.208.128","TCP","66","45966  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1428489615 TSecr=165303958"
"174","138.964908743","172.16.0.4","172.16.208.128","TCP","66","45966  >  12345 [FIN, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1428489623 TSecr=165303958"
"175","138.965274549","172.16.208.128","172.16.0.4","TCP","66","12345  >  45966 [FIN, ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=165303967 TSecr=1428489623"
"176","138.965723457","172.16.0.4","172.16.208.128","TCP","66","45966  >  12345 [ACK] Seq=2 Ack=2 Win=64256 Len=0 TSval=1428489624 TSecr=165303967"
"177","140.860761634","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"178","140.860303525","192.168.174.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"179","140.936653194","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"180","140.936646594","192.168.174.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"181","143.981633158","VMware_a9:d9:b6","VMware_79:c9:10","ARP","42","Who has 172.16.0.4? Tell 172.16.208.128"
"182","143.982148567","VMware_79:c9:10","VMware_a9:d9:b6","ARP","60","172.16.0.4 is at 00:0c:29:79:c9:10"
"183","148.412718188","172.16.0.4","172.16.208.128","TCP","74","45958  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1428499071 TSecr=0 WS=128"
"184","148.412801790","172.16.208.128","172.16.0.4","TCP","74","12345  >  45958 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=165313414 TSecr=1428499071 WS=128"
"185","148.413651505","172.16.0.4","172.16.208.128","TCP","66","45958  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1428499072 TSecr=165313414"
"186","148.413663905","172.16.0.4","172.16.208.128","TCP","66","45958  >  12345 [FIN, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1428499072 TSecr=165313414"
"187","148.414266716","172.16.208.128","172.16.0.4","TCP","66","12345  >  45958 [FIN, ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=165313416 TSecr=1428499072"
"188","148.415220233","172.16.0.4","172.16.208.128","TCP","66","45958  >  12345 [ACK] Seq=2 Ack=2 Win=64256 Len=0 TSval=1428499073 TSecr=165313416"
"189","149.180699630","172.16.0.4","172.16.208.128","TCP","74","45960  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1428499839 TSecr=0 WS=128"
